chunk_id,source_id,title,collection,use_mode,risk_scope,population_tags,topic_tags,language,review_status,char_count,content_preview,review_decision,review_comment
CCI_DISORDERED_EATING_d6d7d1c1_00034_97cb40ad59f4,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,253,"Some of the content of these modules may be challenging at times, and we encourage you to keep going until you reach the end so you can get the most benefit. Whether you have some, many, or all the symptoms of an eating disorder, this workb",,
CCI_DISORDERED_EATING_d6d7d1c1_00035_d3277a401f23,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,36,Module 1: What Are Eating Disorders?,,
CCI_DISORDERED_EATING_d6d7d1c1_00036_a4c94b5e1e4c,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,443,"• It is normal to experience some concern about your eating, weight and shape.  • When these concerns become extreme, eating disorder symptoms can develop.  • Eating disorders impact your physical health, your psychological wellbeing, your ",,
CCI_DISORDERED_EATING_d6d7d1c1_00037_af5d7c08da87,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,181,• Don’t forget to print off the ‘Getting Educated about Eating Disorders’ package as we will be referring to it throughout the modules.  Coming up…What Keeps Eating Disorders Going?,,
CCI_DISORDERED_EATING_d6d7d1c1_00038_03ec8201a6fd,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,346,"Module 1: What Are Eating Disorders?  About the Modules CONTRIBUTORS Katharina Targowski (MPsych) Samantha Bank (MPsych) Clinical Psychologist Clinical Psychologist  Dr. Olivia Carter (DPsych) Dr. Bruce Campbell (DPsych, MPsych) Clinical Ps",,
CCI_DISORDERED_EATING_d6d7d1c1_00039_065264b5550e,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,418,"REFERENCES These are some of the professional references used to create the modules in this information package. Fairburn, C. G., Cooper, Z., Shafran, R., Murphy, R., & Hawker, D. M. (2008). Cognitive Behaviour Therapy and Eating Disorders.",,
CCI_DISORDERED_EATING_d6d7d1c1_00040_3b2ce963edb2,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,815,"Waller, G., Turner, H.M., Tatham, M., Mountford, V.A., & Wade, T.A. (2019). Brief Cognitive Behavioural Therapy for Non- Underweight Patients: CBT-T for Eating Disorders. Routledge. ACKNOWLEDGEMENTS We would like to thank Professor Glenn Wa",,
CCI_DISORDERED_EATING_d6d7d1c1_00041_b130265eb519,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,198,"“BREAK FREE FROM ED” This module forms part of: Targowski, K., Bank, S., Carter, O., Campbell, B. & Raykos, B. (2022). Break Free from ED. Perth, Western Australia: Centre for Clinical Interventions",,
CCI_DISORDERED_EATING_d6d7d1c1_00042_ad614e9ad5e7,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,43,"ISBN: 978-0-9757995-2-9 Created: July, 2022",,
CCI_DISORDERED_EATING_f2025faa_00000_b48d6ec4c687,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,74,Break Free from ED An Active Guide to Recovering From Your Eating Disorder,,
